price,rooms,size,type,area
248 000 €,Oh+2 mh+kph+s+wc+vh+lasitettu parveke (yhtiöjärj. mukaan 3 h + k + s),75 m²,Kerrostalo,Kannelmäki
242 000 €,3h+k+lasitettu parveke,71 m²,Kerrostalo,Laajasalo
620 000 €,5h+k+kph+s+erill.wc+p+ter+piha,152 m²,Rivitalo,Marjaniemi
668 000 €,"3h+kt - 67,5 m2","67,5 m²",Kerrostalo,Töölö
275 000 €,"1h, avokeittiö, alkovi, kph","33,7 m²",Kerrostalo,Kallio
250 000 €,"1, k, kph",35 m²,Kerrostalo,Hakaniemi
215 000 €,"1h,avok, alkovi, kph",27 m²,Kerrostalo,Hermanni
205 000 €,1h+avok+parvi+kph,"17,1 m²",Kerrostalo,Kallio
12 278 €,3H+K,"73,5 m²",Kerrostalo,Vuosaari
309 000 €,4h + k + kh + parv.,"92,5 m²",Kerrostalo,Oulunkylä/Patola
379 000 €,"4h, k, kph, s, erill. wc",96 m²,Rivitalo,Tapaninvainio
278 000 €,"1h, avok, kph",31 m²,Kerrostalo,Punavuori
259 000 €,1h + k + kph + wc,36 m²,Kerrostalo,Sörnäinen
224 000 €,1h+kk+kph (Yht.järj. mukaan 1h+kk+kph),29 m²,Rivitalo,Lehtisaari
30 241 €,3H+K+S,71 m²,Paritalo,Tapaninkylä
197 000 €,"3 - 4h, k, kph, las.parv.","67,5 m²",Kerrostalo,Pihlajamäki
194 000 €,2h+kk+vh+kph+s+lasitettu parveke,50 m²,Kerrostalo,Savela
,1h + k,35 m²,Kerrostalo,Kaarela
585 000 €,"2-3h, k, halli, kph, wc",77 m²,Kerrostalo,Kaartinkaupunki
237 508 €,2h + avok + p,33 m²,Kerrostalo,Hermanninranta
326 233 €,2h + avok + p,47 m²,Kerrostalo,Hermanninranta
386 347 €,2h + avok + p,55 m²,Kerrostalo,Hermanninranta
415 318 €,2h + avok + p,57 m²,Kerrostalo,Hermanninranta
459 205 €,3h + avok + p,"69,5 m²",Kerrostalo,Hermanninranta
393 557 €,3h + avok + p,65 m²,Kerrostalo,Hermanninranta
199 000 €,2h+k+kph+las. parveke (Yj:n mukaan 2 h+k),"63,5 m²",Kerrostalo,Siltamäki
423 473 €,3h + avok + p,"63,5 m²",Kerrostalo,Hermanninranta
636 606 €,3h + avok + p,"87,5 m²",Kerrostalo,Hermanninranta
439 000 €,2h+k+kph+erill.wc,54 m²,Kerrostalo,Alppila
355 000 €,1h+k,53 m²,Kerrostalo,Taka-Töölö
249 000 €,1h+kk+kph+lasitettu parveke,"24,5 m²",Kerrostalo,Punavuori
270 000 €,"kaksio, avok, kph","34,1 m²",Kerrostalo,Meilahti
252 000 €,"2 h, k, sauna, askarteluhuone, varasto, lasitettu patio pihalla","61,5 m²",Rivitalo,Tapanila
438 000 €,5h+k+s+kph+wc+parveke (YJ: 5h+k+s),"99,5 m²",Luhtitalo,Munkkivuori
145 000 €,"2h, k, kph, p","52,5 m²",Kerrostalo,Kontula
228 000 €,1h,26 m²,Kerrostalo,Kallio
335 000 €,1h + kk + parvi + kph,"31,5 m²",Kerrostalo,Kamppi
221 000 €,1h+avokeittiö+parvi,26 m²,Kerrostalo,Töölö
278 000 €,"1 h, kh/wc (Yj1h ja kk)","31,5 m²",Kerrostalo,Kallio
460 000 €,2h+avok+viherhuone/ransk.parveke+vh+kph/s ( yhtj.mukaan 2h+kt+s),48 m²,Kerrostalo,Kalasatama
155 000 €,"2h, k, kph, lasit.parveke","58,5 m²",Kerrostalo,Meri-Rastila
187 000 €,"1 h, avok, kph (yj: 1h+kph)",20 m²,Kerrostalo,Alppiharju
257 000 €,1h + k,31 m²,Kerrostalo,Kallio
279 000 €,"2h, k, kph","55,5 m²",Kerrostalo,Herttoniemi
