area,type,room,sqm,price,price/sqm
Malmi,kt,"1 h, k, kh, p (...","28,00",150000,5357
Munkkivuori,kt,"1H, KK, ALKOVI,...","31,70",184000,5804
Kuninkaantammi,kt,,"12,00",13000,1083
Alppila,kt,1h+kk+kph (yhti...,"22,50",224000,9956
Pohjois-haaga,kt,1h+kk+kh+parv.,"32,50",168000,5169
Sörnäinen,kt,1h+k,"38,00",265000,6974
Punavuori,kt,"1h, avok, alk, ...","34,50",430000,12464
Punavuori,kt,"1h,alkovi, avok...","40,00",360000,9000
Lassila,kt,"1h, k, kph, p","35,00",167000,4771
Etelä-haaga,kt,1h+k,"25,00",192000,7680
Tapulikaupunki,kt,1h+kk,"29,50",103000,3492
Töölö,kt,1h+kk+kph,"16,00",171000,10688
Itä-pasila,kt,1h ja keittiö,"28,00",170000,6071
Mellunmäki,kt,"1h,kk, kph, p","34,50",92000,2667
Lauttasaari,kt,"1h, avokeitti&#...","35,00",269000,7686
Punavuori,kt,"1h, avok, tilav...","74,00",650000,8784
Kamppi,kt,1 h+k+kph,"19,00",209500,11026
Vuosaari,kt,1h+alkovi+kk+kph,"23,50",125000,5319
Tapanila,kt,"1h, kk","25,00",146000,5840
Kalasatama,kt,"1h, avok, lasit...","27,00",239000,8852
Punavuori,kt,"1h, avok, alk, ...","34,50",435000,12609
Alppila,kt,"1h,avok, kph, t...","35,00",320000,9143
Etu-töölö,kt,"1 h, kk, kph","21,20",221000,10425
Koskela,kt,"1h, kt","28,00",220000,7857
Kallio,kt,1h+tk+kph,"28,50",225000,7895
Sörnäinen,kt,1h+k+alkovi,"33,00",224050,6789
Lauttasaari,kt,1h+avok+kph/wc+...,"35,50",268000,7549
Kallio,kt,"1h, kk, kph/wc,...","20,00",143000,7150
Oulunkylä,kt,"1h, kk, kph","34,30",121500,3542
Meilahti,kt,1h+ k (yj:n muk...,"36,00",289000,8028
Kallio,kt,"1h,k","41,50",250500,6036
Tapanila,kt,"1h, avok, kph, ...","32,00",162000,5063
Sörnäinen,kt,"1h, keittiö...","33,50",235000,7015
Munkkiniemi,kt,"1h, kk, kph","24,00",185000,7708
Siltamäki,kt,1h+kk,"27,50",103000,3745
Hermanni,kt,1h ja keittiö,"28,00",192000,6857
Alppiharju,kt,1h+k+kph (yhti&...,"33,40",213500,6392
Sörnäinen,kt,"1h, kph, eteine...","23,00",181000,7870
Taka-töölö,kt,"1h, kk, kph","28,00",257000,9179
Kallio,kt,"1h,keittosyvenn...","26,00",216000,8308
Etelä-haaga,kt,1h+alkovi+kk+kp...,"29,00",211000,7276
Sörnäinen,kt,"1h, keittiö...","36,00",232500,6458
Kamppi,kt,1h+kk+alk.+lasi...,"37,50",309000,8240
Käpylä,kt,"1h, kt","27,50",219000,7964
Mellunkylä,kt, 1h + avok + kp...,"29,50",145000,4915
Etu-töölö,kt,1h + kk,"23,50",241500,10277
Kamppi,kt,1h+avokeitti...,"36,00",300000,8333
Kamppi,kt,1h,"16,30",210000,12883
Etu-töölö,kt,"1h, keittosyven...","19,50",225000,11538
Alppila,kt,"1h, avok ja kph","21,00",190000,9048
Etu-töölö,kt,"1h, kk, kph","22,00",250100,11368
Kruunuvuorenranta,kt,1h+k+kph,"23,50",219000,9319
Kallio,kt,"1h, avokeitti&#...","24,50",220000,8980
Alppila,kt,"1h, kk, kph, parv","29,50",252000,8542
Puotila,kt,1h+k,"31,00",128000,4129
Tapanila,kt,"1h, kk, kph, p","31,50",135000,4286
Koskela,kt,autopaikka,"12,50",25000,2000
Ullanlinna,kt,"1-2h, avokeitti...","34,50",362500,10507
Pihlajamäki,kt,"1h, avok, kph, p","48,00",167000,3479
Lauttasaari,kt,1h+avok+kh,"25,00",209491,8380
Koskela,kt,"1h, kt","30,00",222000,7400
Kamppi,kt,"1h, kt, kph","30,00",280500,9350
Länsi-pakila,kt,"1 h, kk, kph","32,00",156000,4875
Harju,kt,Yksiö + kk...,"37,00",265000,7162
Ullanlinna,kt,1h+avok+työ...,"41,00",360000,8780
Aurinkolahti,kt,1h+kk+alk+vh+kp...,"45,50",238000,5231
Punavuori,kt,"2 h, k, kph, et...","65,00",495000,7615
Kallio,kt,1h+kk+kph+lasit...,"29,50",200000,6780
Kallio,kt,"1h, avok., alko...","36,00",258000,7167
Aurinkolahti,kt,1H+ALK+K+S,"46,00",250000,5435
Punavuori,kt,"1h,kk,kph,alkovi","30,00",295000,9833
Sörnäinen,kt,1h+k+kph+vh,"36,00",237000,6583
Kamppi,kt,"1h, k, parvi, k...","42,00",383000,9119
Hermanni,kt,1h + k,"27,00",212000,7852
Etelä-haaga,kt,Ullakkokerros: ...,"43,50",280000,6437
Käpylä,kt,1(-2)h+avok.+al...,"44,00",262500,5966
Töölö,kt,"1h, kk, kph","22,00",207000,9409
Puotinharju,kt,"1h, kk, kph","28,50",132000,4632
Roihuvuori,kt,1h+k,"21,50",135000,6279
Alppila,kt,1h+kk+kph,"25,50",178000,6980
Vuosaari,kt,1h+kk,"26,00",117510,4520
Koskela,kt,1h+k,"36,20",122500,3384
Kallio,kt,1h+k+kph+vh+et,"42,30",280000,6619
Vallila,kt,1h+avok+kph,"18,00",149000,8278
Punavuori,kt,"1h, avok, wc/su...","21,00",203600,9695
Alppiharju,kt,1h+kk+kph,"15,00",170000,11333
Punavuori,kt,"1h, kph ja kk","19,00",206000,10842
Kallio,kt,1h+kk+kph,"20,00",181000,9050
Konala,kt,1h+avok+kph+p (...,"31,00",167000,5387
Taka-töölö,kt,"1h, avok, kph, ...","48,50",327000,6742
Kallio,kt,1h+kk+alkovi+kp...,"29,50",237521,8052
Hietalahti,kt,"1h, kk","34,80",310000,8908
Taka-töölö,kt,"1h, kk, kph/wc","36,00",138000,3833
Kallio,kt,"1h, ks, kph, et...","23,00",220000,9565
Roihuvuori,kt,"1h, kk, kph, piha","23,50",132000,5617
Jätkäsaari,kt,1h+kt,"32,50",249132,7666
Sörnäinen,kt,"1h, k, kph","33,50",235000,7015
Etelä-haaga,kt,1h+kk+kh+parv,"30,50",200000,6557
Myllypuro,kt,1h+kt+alk+parv,"39,00",207000,5308
Meilahti,kt,1h+kk+kph,"21,00",170000,8095
Hermanni,kt,"1h, kk, alkovi,...","33,80",244000,7219
Hermanni,kt,"1h, avok,alkovi...","41,20",248000,6019
Kruunuvuorenranta,kt,"1h, avok, kph, ...","29,50",219000,7424
Kontula,kt,1h+kk,"30,00",136000,4533
Oulunkylä,kt,"1 h, alkovi, kk...","31,00",160000,5161
Kallio,kt,1h+kph+kell,"33,00",229381,6951
Kallio,kt,1h+alk+k,"36,50",267000,7315
Kallio,kt,"1h,k,kh","40,00",322000,8050
Katajanokka,kt,1h+k+s,"41,50",260000,6265
Lauttasaari,kt,1 h+pk,"26,50",235000,8868
Lauttasaari,kt,1h + k,"28,50",285000,10000
Kallio,kt,"1h, kk, alkovi","31,50",222000,7048
Kamppi,kt,1h+avok+kph+ete...,"22,00",228500,10386
Lassila,kt,1h+kk,"30,50",157500,5164
Kannelmäki,kt,1h+avokeitti...,"34,50",127500,3696
Ullanlinna,kt,"1h, k, kph","55,30",457000,8264
Kallio,kt,"1h, kk,kph","21,80",175000,8028
Kaartinkaupunki,kt,"1h, avok, parvi...","26,50",285000,10755
Savela,kt,"1h, kk, alkovi,...","34,50",130000,3768
Kruununhaka,kt,1h+avok.+kph,"41,50",350000,8434
Herttoniemenranta,kt,1h+kt+kph+p,"25,00",192000,7680
Konala,kt,"1h, kk, kph, la...","31,00",141000,4548
Kluuvi,kt,"1h, avok, kph","32,00",256000,8000
Punavuori,kt,1h+kk+kph+p,"21,00",212000,10095
Puotila,kt,1h+kk+kph+ransk...,"26,00",128100,4927
Ullanlinna,kt,1h+kk,"32,50",299000,9200
Pajamäki,kt,1h+kk,"26,00",163000,6269
Kannelmäki,kt,"1h, kk, vh, kph...","27,00",149000,5519
Kulosaari,kt,1h+kk,"30,50",230000,7541
Lauttasaari,kt,1h+kk,"29,00",260000,8966
Puotinharju,kt,"1h, kk, wc/kph,...","23,50",133000,5660
Kallio,kt,"1h, avok. kph","26,50",220000,8302
Hermanni,kt,1h+kk+kh,"28,50",205000,7193
Vallila,kt,1h+kk,"31,00",237000,7645
Puotila,kt,"1h, kk, kph, p","33,00",161000,4879
Vallila,kt,1h+k+kph,"39,50",279000,7063
Kruununhaka,kt,"1h, k, kph, vh","50,00",370000,7400
Meilahti,kt,1h+k+kph,"25,00",185000,7400
Kallio,kt,1h + kk + alk,"28,00",195000,6964
Kallio,kt,1h+kk+kh,"30,00",237250,7908
Kruununhaka,kt,1h+k+kph,"33,00",303000,9182
Kallio,kt,"1h, avok,parvi,kph","23,80",208000,8739
Vallila,kt,1h+avok.+makuus...,"29,00",235000,8103
Pasila,kt,1h + kk,"28,00",171000,6107
Vallila,kt,1h+kk+sh/wc,"21,00",191000,9095
Kuninkaantammi,kt,1h+kph+las.parv.,"26,00",171500,6596
Taka-töölö,kt,"h, kk ja kph","26,50",208000,7849
Vallila,kt,"1h, m- ka k-alk...","29,50",205000,6949
Etelä-haaga,kt,1h+kk,"30,00",196000,6533
Myllypuro,kt,"1h, kk, kph, al...","32,00",135000,4219
Alppila,kt,"1h, k, kph, eri...","36,00",245000,6806
Herttoniemi,kt,"1h, k, kph, ran...","39,10",230000,5882
Punavuori,kt,"1h, k, alkovi, kph","40,00",372000,9300
Sörnäinen,kt,1h+kk,"23,00",184000,8000
Kamppi,kt,"1 h, kk ja kph","24,50",230000,9388
Roihuvuori,kt,"1h,kt,kph (yj:1...","25,50",138500,5431
Kallio,kt,1h+kk,"26,00",208000,8000
Konala,kt,1h+avokeitti...,"31,00",154000,4968
Vallila,kt,"1h, k, wc, suih...","37,50",241000,6427
Etelä-haaga,kt,1h+kk+p,"29,00",180000,6207
Etelä-haaga,kt,1h+avokeitti...,"26,50",193000,7283
Laajasalo,kt,"1h, avok, kph, ...","28,50",205000,7193
Kallio,kt,"1-2h, avok, kph","32,00",261500,8172
Metsälä,kt,"1 h, kk (yj. 1h...","23,00",160000,6957
Hermanni,kt,1h+avok+kph+et,"23,00",187000,8130
Kruunuvuorenranta,kt,"1h, k, kph","24,50",239000,9755
Hermanni,kt,"1h,k","31,00",200000,6452
Kamppi,kt,1h+k+alkovi,"47,70",347000,7275
Meilahti,kt,"1h, kk ja kph","20,00",170000,8500
Etelä-haaga,kt,"1h, kk, alkovi,...","26,00",189000,7269
Kamppi,kt,1h+k+kph,"19,00",214000,11263
Oulunkylä,kt,1h+kt+parv.,"24,00",199700,8321
Lauttasaari,kt,"1h, kk","26,00",228000,8769
Etu-töölö,kt,"1h,kk","26,20",272050,10384
Etelä-haaga,kt,"1h, kk, alkovi,...","30,00",192000,6400
Lauttasaari,kt,"1h, avok, lasit...","34,00",332000,9765
Alppila,kt,"1h, kk, alkovi,...","35,00",275000,7857
Ullanlinna,kt,1h+avok+ph (yj:...,"23,00",215000,9348
Taka-töölö,kt,"1h, avok, kph","24,00",198000,8250
Lauttasaari,kt,1 h+k,"26,00",218000,8385
Vuosaari,kt,"1 h, avok, kph,...","33,50",165000,4925
Käpylä,kt,"1h, kt","28,00",195000,6964
Itä-pasila,kt,"1h,kk,s","36,00",249900,6942
Käpylä,kt,"1 h, k, kph","38,00",237000,6237
Etelä-haaga,kt,1h+kk,"23,90",178550,7471
Maunula,kt,"1 h, kk, kph/wc...","26,00",125000,4808
Etu-töölö,kt,"1h, avok, kh","39,00",385000,9872
Sörnäinen,kt,1h+k+kph+alkovi,"42,00",240000,5714
Helsinki,kt,1k+k,"31,50",323000,10254
Sörnäinen,kt,1h,"25,00",199000,7960
Kannelmäki,kt,"1h,kk,kph","29,00",143000,4931
Sörnäinen,kt,1h+k,"41,90",298000,7112
Munkkiniemi,kt,1h+kk,"24,00",234000,9750
Kallio,kt,"1h, avok, kph","25,50",208000,8157
Etelä-haaga,kt,"1h, kk, kph, vh","28,00",200000,7143
Puotinharju,kt,"h, kk, kph","29,00",123000,4241
Kallio,kt,"1 h, kk, kph","30,00",220000,7333
Punavuori,kt,"oh, avokeitti&#...","51,30",352000,6862
Kamppi,kt,1h+k+kph,"19,00",208000,10947
Roihuvuori,kt,1h+kk+alkovi+vh...,"31,00",180000,5806
Kannelmäki,kt,1h+kk,"33,00",149500,4530
Lauttasaari,kt,1h+kk+p,"34,00",197650,5813
Alppiharju,kt,1H+KK (Yht.j...,"34,90",279000,7994
Vallila,kt,1h+k+alk+kh,"50,50",310000,6139
Alppila,kt,1. h+kk+kph (yh...,"22,50",199900,8884
Taka-töölö,kt,1h+kk+kph,"26,50",210000,7925
Lauttasaari,kt,"1 h, kk, kh","26,50",227000,8566
Punavuori,kt,1h+avok+kph+p (...,"21,00",222000,10571
Hermanni,kt,1h+avokeitti...,"24,50",181000,7388
Sörnäinen,kt,"1h, kk, parvi","27,00",196000,7259
Sörnäinen,kt,1h+kk+lasitettu...,"33,00",225000,6818
Katajanokka,kt,"1h, kk, kph, ra...","34,00",227000,6676
Kannelmäki,kt,"1h, kk, s, vh, ...","36,00",156000,4333
Vuosaari,kt,"1 h, avok., kph, p","37,50",189000,5040
Kamppi,kt,"1h, avokeitti&#...","17,60",195000,11080
Taka-töölö,kt,"1h, kk, kph, alk.","32,00",242500,7578
Munkkisaari,kt,1h+kk+kph,"32,00",295000,9219
Töölö,kt,"1h, avok, kph, ...","23,60",210000,8898
Vallila,kt,"Huone, keitti&#...","32,00",220000,6875
Käpylä,kt,"1h, avok, kph, ...","52,50",400000,7619
Lauttasaari,kt,"1h, avok, kph, ...","53,00",380000,7170
Torkkelinmäki,kt,"1h, avok, kph","29,70",245000,8249
Kallio,kt,1 h + kph,"31,50",240000,7619
Kallio,kt,1h+ks+kh,"27,00",210000,7778
Etelä-haaga,kt,"1 h, kk, kph","26,00",156000,6000
Alppiharju,kt,1 h+kk,"26,00",219000,8423
Oulunkylä,kt,"1h,kk","32,00",203000,6344
Kannelmäki,kt,2h+k+kph+s+parv...,"48,00",214000,4458
Malmi,kt,2h+k+s,"50,00",152000,3040
Vuosaari,kt,2h+k+kph+vh+et+...,"53,50",140000,2617
Viikki,kt,2h+avok.+kph/wc...,"61,50",291000,4732
Munkkiniemi,kt,2h + kt + kph,"46,50",605000,13011
Munkkiniemi,kt,2h+k+kph+p,"50,00",350000,7000
Munkkivuori,kt,"2h, k, kph, vh","56,90",284000,4991
Kamppi,kt,2 h + k,"63,00",455000,7222
Ullanlinna,kt,2h+avok+khh+kph...,"64,50",690000,10698
Etelä-haaga,kt,2h+kk+kph+p (yj...,"40,00",264000,6600
Kaartinkaupunki,kt,"2h, avok., kph","35,50",370000,10423
Herttoniemi,kt,"2h, kk","41,00",250000,6098
Siltasaari,kt,"2h, k, kph","42,50",344000,8094
Pikku-huopalahti,kt,"2h, avok, s, kp...","48,50",275000,5670
Kannelmäki,kt,"2h, k, kph, vh,...","53,00",210000,3962
Alppila,kt,2h+kk+parv.,"39,00",265000,6795
Lauttasaari,kt,2h+avok+kph,"45,00",285000,6333
Punavuori,kt,"2h, k, kph","45,50",560000,12308
Viikki,kt,"2h, avok, kph, ...","48,00",235000,4896
Kontula,kt,"2h, k, kph, p","52,50",152000,2895
Herttoniemenranta,kt,2h+k+kph+s+las....,"55,00",290000,5273
Munkkiniemi,kt,"2h, k, kph, et","57,00",370000,6491
Haaga,kt,2h+k,"40,00",222000,5550
Lauttasaari,kt,2h+kk+s+parv.,"47,00",282001,6000
Kuninkaantammi,kt,"2h, avok, kph, ...","49,00",234000,4776
Vuosaari,kt,2-3h+kt+s,"53,50",292000,5458
Ullanlinna,kt,"2h, kk, kph","54,00",478000,8852
Maunula,kt,"2 h, k, kph, vh...","58,50",243000,4154
Kontula,kt,"2h, k, kph,eril...","59,50",140000,2353
Herttoniemi,kt,"2h, k, kph, vh,...","48,50",230000,4742
Konala,kt,2h+k,"50,00",185000,3700
Munkkiniemi,kt,2h+k+kph+alkovi,"63,50",387000,6094
Hermanni,kt,"2h, kk, kph, pa...","53,50",323000,6037
Taka-töölö,kt,2-3h+k+kph+alkovi,"70,00",470000,6714
Katajanokka,kt,"2h, avok, kph","37,50",270000,7200
Kannelmäki,kt,"2h, avok, kph, ...","48,00",208000,4333
Tammisalo,kt,"2 h, avok, kph, p","37,00",201000,5432
Sörnäinen,kt,"2h, k, kph, 2x vh","50,00",276000,5520
Mellunmäki,kt,2h+k,"52,50",130000,2476
Vuosaari,kt,"2h, k, kph, las...","53,50",141500,2645
Lauttasaari,kt,"2h,k,vh,kph,parv.","61,00",378000,6197
Kallio,kt,2h+kk+kph,"44,00",295000,6705
Pasila,kt,"2h, avok, kph, ...","50,00",430000,8600
Oulunkylä,kt,"2h, kt, kph, vh...","54,00",309000,5722
Herttoniemi,kt,"2h, kk, parveke","47,00",255000,5426
Meilahti,kt,"2-3 h, k, kph, p","50,90",357000,7014
Malmi,kt,"2h,kk,las.parv.","51,50",131000,2544
Ullanlinna,kt,"2h, keittiö","53,70",525500,9786
Munkkiniemi,kt,"2 h, k, kph, pa...","55,00",340000,6182
Meilahti,kt,2h+k+kph+p (YJ:...,"51,00",334500,6559
Meilahti,kt,2 h + kk,"38,00",227000,5974
Kontula,kt,"2h, kk, kph, la...","42,00",147000,3500
Vallila,kt,"2h, k ja lasite...","47,50",351000,7389
Kivihaka,kt,2h+kk,"40,00",249000,6225
Puotila,kt,"2h, k, kph, p ","52,50",167000,3181
Kruunuvuorenranta,kt,2h+kt,"55,00",280000,5091
Pajamäki,kt,"2h, avok, kph, ...","49,00",249000,5082
Ullanlinna,kt,"2h, avok., vh, ...","62,50",680000,10880
Hietalahti,kt,2h+avok+kph+et,"34,00",331000,9735
Mellunmäki,kt,"2h, avok. ja la...","38,50",147500,3831
Munkkiniemi,kt,"2h, avok, kph","42,00",327500,7798
Etu-töölö,kt,"2h, avok ja kph","45,00",380000,8444
Töölö,kt,"2h, avok","46,00",353000,7674
Punavuori,kt,"2h, k, kph, par...","46,00",380000,8261
Katajanokka,kt,2h+avok+kph+s+l...,"46,00",420000,9130
Kallio,kt,"2h, keittiö...","54,00",429000,7944
Etu-töölö,kt,1-2h+avok+kph+e...,"56,00",465000,8304
Etu-töölö,kt,"2h, k, kph, vh ","56,00",497000,8875
Kruununhaka,kt,"2 h+k , kph, vh...","63,50",590000,9291
Lauttasaari,kt,2h+kk,"37,00",284000,7676
Myllypuro,kt,"2h, k, kph, vh","44,50",150000,3371
Viikinmäki,kt,"2h, avok, kph/w...","44,50",290000,6517
Kannelmäki,kt,2h+kk+kph+parveke,"48,00",176000,3667
Malmi,kt,"2h, avok, kph/w...","48,50",175000,3608
Myllypuro,kt,2h+kk+vh+kph/wc...,"50,50",160000,3168
Harju,kt,"2h, avok, kph","51,00",295000,5784
Taka-töölö,kt,1-2h+avokeitti&...,"51,80",484500,9353
Katajanokka,kt,"2h, k, kph","56,70",460000,8113
Maunula,kt,"2h, k, kph, vh,...","58,50",251000,4291
Malminkartano,kt,2H+AK+KPH+P,"43,00",159000,3698
Etelä-haaga,kt,"2h,k,p (yj. 2h+kk)","44,50",230000,5169
Puotila,kt,2h+k+kph+las.parv.,"47,00",172500,3670
Myllypuro,kt,"2h,k, lasitettu...","61,50",194000,3154
Ullanlinna,kt,"2h, keittiö","69,00",520000,7536
Ullanlinna,kt,"2h, kk, kph","36,00",412000,11444
Etelä-haaga,kt,2h+kk+parveke,"38,00",265000,6974
Tapanila,kt,"2h, kk, kph, la...","39,00",210000,5385
Munkkivuori,kt,"2h,kk,vh,ransk....","40,00",242000,6050
Niemenmäki,kt,2h+k+kph+lasite...,"53,00",310000,5849
Lauttasaari,kt,"2h, k, kph/wc, ...","55,00",333000,6055
Lauttasaari,kt,"2h, k","60,50",366000,6050
Meilahti,kt,"2h, k, kph","65,00",426000,6554
Taka-töölö,kt,2h+k+kph+sauna,"78,00",612000,7846
Arabianranta,kt,"2-3h, avok, s, ...","78,50",382216,4869
Kluuvi,kt,"2h, k, kph, vh","80,00",520000,6500
Malmi,kt,"2h,k, kph, s, l...","51,50",185000,3592
Katajanokka,kt,"2h, tsto, kk, kph","41,50",510000,12289
Pasila,kt,2h+avok+kph+las...,"45,00",380000,8444
Kluuvi,kt,2h+k+kph+vh+ran...,"53,00",510000,9623
Länsi-pasila,kt,2h+k+kph+s+parv.,"56,00",260000,4643
Alppila,kt,"2h, k, wc, s","58,50",347000,5932
Lauttasaari,kt,"2-3h, k, s, las...","69,00",446000,6464
Kamppi,kt,"2h, kk, kph, et...","70,00",580000,8286
Pukinmäki,kt,2h+kk+kph+vh+la...,"45,00",166000,3689
Katajanokka,kt,2h+k (yhtiö...,"47,00",420000,8936
Vallila,kt,2h+ kk,"48,00",318000,6625
Kruununhaka,kt,"2h, k, kph","60,00",485000,8083
Siltamäki,kt,"2h, k","62,00",150000,2419
Punavuori,kt,"2h, avok, alkov...","70,00",696000,9943
Oulunkylä,kt,2h+k+lasitettup...,"59,00",157000,2661
Taka-töölö,kt,"2h, k, halli, v...","82,40",515000,6250
Kamppi,kt,"2h, k, kph, las.p.","50,50",360000,7129
Laajasalo,kt,"2h, k, kph, las...","55,00",213000,3873
Hermanni,kt,2h+avok.+kph+vh+p,"37,00",260000,7027
Meilahti,kt,2h+avok+kph,"37,50",262000,6987
Kallio,kt,2h+k+kph,"53,00",357000,6736
Munkkiniemi,kt,2h+k+kph+p,"64,00",445000,6953
Kivihaka,kt,"2h, k, kph, las...","44,00",240000,5455
Oulunkylä,kt,2h+kk+kph+vh (Y...,"45,00",235000,5222
Kallio,kt,"2h, avok., kph,...","50,00",350000,7000
Itä-pasila,kt,2h+k,"54,00",262000,4852
Savela,kt,2h+kk,"45,00",172000,3822
Pihlajisto,kt,2h+k+kph,"50,50",134000,2653
Munkkivuori,kt,2h+k+kph+p,"53,00",338000,6377
Puotinharju,kt,2h+k+vh+kph+p,"55,50",232000,4180
Aurinkolahti,kt,"2h,kk,s","46,00",270000,5870
Kalasatama,kt,"2h, avok, kph, ...","47,00",430000,9149
Laajasalo,kt,2h+kk,"48,50",189000,3897
Etu-töölö,kt,"2h, k, vh, kph","53,00",426000,8038
Kamppi,kt,2h+k+kh+patio,"55,00",385000,7000
Konala,kt,"2h, keittokomer...","43,50",150000,3448
Kluuvi,kt,2h+k+kph,"45,50",475000,10440
Etelä-haaga,kt,"2h, keittiö...","47,50",260000,5474
Etelä-haaga,kt,"2h, k, kph, las.p","47,50",274000,5768
Munkkivuori,kt,2h+k+p+kh,"49,80",241200,4843
Aurinkolahti,kt,"2h, keittiö...","54,50",283000,5193
Munkkiniemi,kt,2h+kk,"38,50",287000,7455
Alppila,kt,"2h, avok, kph","34,00",220000,6471
Konala,kt,"2h, kk, kph, vh...","44,00",168000,3818
Kalasatama,kt,"2h, avok, kph, ...","54,50",537500,9862
Meilahti,kt,2h+kk+kph+et,"38,00",230000,6053
Töölö,kt,2h+kk,"39,00",282300,7238
Sörnäinen,kt,"2h, avok, kph, ...","40,00",275000,6875
Alppila,kt,2h+kk+kph,"41,00",215000,5244
Myllypuro,kt,"2h, avok, kph, ...","43,50",170000,3908
Jätkäsaari,kt,"2h, avok, kph, ...","44,00",377000,8568
Pukinmäki,kt,"2h, kk, kph, pa...","45,00",165000,3667
Alppila,kt,2h+k+kh,"48,00",270000,5625
Meilahti,kt,2h + k + kph,"62,00",400000,6452
Kamppi,kt,2 h + kk + alk ...,"41,00",370000,9024
Arabianranta,kt,"2h,kt,kph,s,p (...","43,50",285000,6552
Kallio,kt,"2h, kk, kph","44,00",300000,6818
Pukinmäki,kt,"2h, kk, s, lasi...","35,50",165000,4648
Pohjois-haaga,kt,"2h, k, parveke ...","42,50",231000,5435
Kruununhaka,kt,2h+k+et+kph (yh...,"45,00",363000,8067
Kallio,kt,2h+k+kph+vh+par...,"49,00",330000,6735
Herttoniemenranta,kt,2h+k+lasitettu ...,"52,50",382000,7276
Myllypuro,kt,"2h, k, kph, las...","56,50",185000,3274
Lauttasaari,kt,2h+k+s+parveke,"65,50",449000,6855
Punavuori,kt,2h+k+kph+s+las.p,"75,50",630000,8344
Taka-töölö,kt,2h+avok+kph,"42,00",257000,6119
Herttoniemenranta,kt,"Oh, avok, mh, s...","46,00",290000,6304
Puotinharju,kt,2h+k+kph+vh+las.p,"54,00",195000,3611
Vuosaari,kt,"2h, k, kph, ter...","60,00",171572,2860
Haaga,kt,"2h,kk,kh","35,00",186781,5337
Kallio,kt,2h+kk,"42,00",229900,5474
Vuosaari,kt,2h+k+s,"51,50",235000,4563
Käpylä,kt,"2h, kk","37,00",259000,7000
Tapaninvainio,kt,"2h, k, kph/wc, ...","48,00",205000,4271
Kallio,kt,2h+avok+kph (yh...,"46,50",299000,6430
Roihuvuori,kt,"2h, k, kph","51,00",240000,4706
Töölö,kt,"2h,kk","53,00",448117,8455
Kamppi,kt,2h+kk,"39,00",300000,7692
Mellunmäki,kt,2h + pk + parveke,"41,50",100000,2410
Roihuvuori,kt,"2 h, k, kph, la...","52,00",225000,4327
Kontula,kt,"2h, k","56,00",139000,2482
Meilahti,kt,2 h + kk,"45,00",300000,6667
Arabianranta,kt,"2 h, k, kh, vh,...","47,50",310000,6526
Kontula,kt,"2h, kk, kph, p","53,00",161000,3038
Vesala,kt,2h+kk,"44,50",125000,2809
Hermanni,kt,"2h, kk, 2vh, kp...","49,00",253500,5173
Meilahti,kt,"2h, kk, et, kph","38,00",235000,6184
Roihuvuori,kt,"2h, avok, kph","40,00",192000,4800
Vallila,kt,"2h, avok, kph, ...","40,00",307000,7675
Kalasatama,kt,2H+KT,"43,00",455000,10581
Oulunkylä,kt,"2h, kk, kph, la...","45,50",205000,4505
Käpylä,kt,2h+avok.+kph+sa...,"46,50",349000,7505
Meilahti,kt,2h+alkovi+k+ kph,"50,00",320000,6400
Malminkartano,kt,"2h,k,kph,vh,las...","55,50",190000,3423
Käpylä,kt,2h+k+khwc+p,"55,50",310000,5586
Etelä-haaga,kt,"2h, k, kph, par...","64,00",311000,4859
Vallila,kt,"2h, avokeitti&#...","71,00",481000,6775
Aurinkolahti,kt,"2h, kk, kph, la...","40,50",222000,5481
Kivihaka,kt,2h+pk+p,"40,50",240000,5926
Vallila,kt,2h+avok.+ruokai...,"41,00",280000,6829
Kalasatama,kt,2H+KT,"43,00",455000,10581
Konala,kt,2h+kk+lasitettu...,"43,50",167000,3839
Meilahti,kt,2h+kk,"45,50",327600,7200
Roihuvuori,kt,"2 h, avok, kph,...","48,00",290000,6042
Munkkivuori,kt,"2h, k, khh, vh,...","52,10",289000,5547
Kallio,kt,2h+avok+vh+kph,"52,50",291000,5543
Etu-töölö,kt,"2h, k, kph, et","56,50",489000,8655
Siltamäki,kt,2h+k+kph+ lasit...,"63,00",125000,1984
Taka-töölö,kt,2h+k+kph+vh,"84,00",652000,7762
Sörnäinen,kt,"2h, avok, kph","36,00",295000,8194
Etu-töölö,kt,"1-2h,avok,kph,v...","45,00",370000,8222
Aurinkolahti,kt,"2h, kk, kph, s,...","48,00",265000,5521
Vallila,kt,"2h, kt, s, las....","49,00",390000,7959
Munkkivuori,kt,"2h, k, kph, s, ...","52,10",299000,5739
Pihlajisto,kt,2h+k,"55,00",140001,2545
Ullanlinna,kt,"2h, k, kph, et","59,00",505000,8559
Maunula,kt,"2h, kk (yj. 2 h...","36,50",216000,5918
Etelä-haaga,kt,"2h, avok, kph, p","43,50",256000,5885
Puotila,kt,2h+k+kph+vh,"46,50",185000,3978
Meri-rastila,kt,"2h, kk","50,50",155500,3079
Myllypuro,kt,"2h, kk, kph, vh...","50,50",187504,3713
Harju,kt,"2h, kk, kph","52,00",359000,6904
Kontula,kt,2h+k+kph+vh+parv,"56,00",171000,3054
Suutarila,kt,2h+k+kph+las.pa...,"65,00",164000,2523
