area,type,room,sqm,price,price/sqm
Niemenmäki,kt,"1h, k, kph, et,...","29,50",210000,7119
Lauttasaari,kt,"1h, kk, kph","24,00",225000,9375
Pohjois-haaga,kt,"1h, kk, kh","29,00",170000,5862
Torkkelinmäki,kt,1h+avok.+kh+ran...,"33,50",195000,5821
Etu-töölö,kt,"1h, avok, kph","19,20",203000,10573
Vallila,kt,1h+k+alkovi+kph,"40,00",230000,5750
Taka-töölö,kt,1h+k,"31,50",239000,7587
Vallila,kt,1h+kt+alk+p,"44,00",357000,8114
Taka-töölö,kt,"1h, kk, kph","28,00",188000,6714
Punavuori,kt,"1h, k, kph","29,00",286000,9862
Oulunkylä,kt,1h+kt+parveke,"27,50",247000,8982
Kruununhaka,kt,1h+k,"29,00",241000,8310
Etu-töölö,kt,"1h, alk, avok, kph","31,50",337000,10698
Alppila,kt,1h+k,"33,00",223000,6758
Laajasalo,kt,"1h, kk, kph, la...","24,00",141000,5875
Siltamäki,kt,"1h, kk, las.par...","26,00",95000,3654
Kallio,kt,"1h, kk, kph, vh","28,00",230000,8214
Alppiharju,kt,"1h, avok, kph/w...","29,50",244500,8288
Vuosaari,kt,"1 h, avok., kph, p","30,00",165000,5500
Kontula,kt,1k+kt+las.par.,"31,50",173500,5508
Vallila,kt,"1h, avok","27,50",252500,9182
Herttoniemi,kt,"1h, avok+kh","34,00",199000,5853
Punavuori,kt,"1h, k, kph, et,...","39,50",385000,9747
Meilahti,kt,"1h, kk","31,00",232000,7484
Taka-töölö,kt,"1 h, kt, kh (YJ...","40,00",240000,6000
Töölö,kt,Ylimmän ke...,"20,00",183000,9150
Sörnäinen,kt,"1h, avok, kph","27,00",195500,7241
Alppila,kt,1 h+k+kph+las. ...,"29,50",235000,7966
Lassila,kt,"1h, kk, kph, la...","31,00",145000,4677
Lassila,kt,"1h, kk","32,00",145000,4531
Punavuori,kt,1h+kk+alkovi,"36,80",292000,7935
Herttoniemi,kt,"1h, avok, alkov...","37,00",230000,6216
Kamppi,kt,"1 huone, kph","20,50",225000,10976
Kallio,kt,1h+kk,"30,00",215000,7167
Kamppi,kt,1h+k+kh+parveke,"45,00",333500,7411
Pitäjänmäki,kt,"1h, kk, kph","24,00",127000,5292
Ullanlinna,kt,1h+kk+kph,"24,00",215000,8958
Herttoniemi,kt,"1h, kk, kph/wc ...","31,00",204000,6581
Munkkiniemi,kt,"1h, kk, rh, kph","34,50",305000,8841
Taka-töölö,kt,"1h,kk,kph","22,50",169500,7533
Vallila,kt,1h+k+kph,"41,00",250000,6098
Kallio,kt,1h+kk,"25,00",158000,6320
Hermanni,kt,"1h, avokeitti&#...","28,00",215000,7679
Punavuori,kt,Ih+tk,"29,00",325000,11207
Kumpula,kt,1h + avok. + kph ,"30,20",220000,7285
Aurinkolahti,kt,1h+kt+alkovi+pa...,"32,50",191000,5877
Kallio,kt,"1h, keittiö...","42,00",276000,6571
Töölö,kt,1h + kk,"22,00",215000,9773
Lauttasaari,kt,1h+kk,"27,50",225000,8182
Etelä-haaga,kt,"1h k, kph, alkovi","29,00",205000,7069
Ullanlinna,kt,"1h, k, alk, kph","37,90",325000,8575
Etu-töölö,kt,"1 h, keitti...","40,70",345000,8477
Kallio,kt,"1h,k, alkovi","41,00",261000,6366
Punavuori,kt,"1 h, k, alkovi, kh","44,50",340000,7640
Munkkiniemi,kt,"1h, kk","20,00",185000,9250
Kallio,kt,"1h, kk, kph, er...","30,00",220000,7333
Oulunkylä,kt,1h+k,"33,00",142000,4303
Oulunkylä,kt,1h+kt (x,"23,00",182000,7913
Vuosaari,kt,"1h, kk, kph, p","25,70",139000,5409
Malmi,kt,1h+kn+kph+lasit...,"34,00",128500,3779
Kallio,kt,1h+kk+parvi+wc/kph,"25,60",230000,8984
Taka-töölö,kt,1h+kk+kph,"21,50",170000,7907
Vallila,kt,"1h, avok, alkov...","38,00",242000,6368
Lauttasaari,kt,1h+keittiö...,"43,00",350000,8140
Kallio,kt,1H+K,"33,00",274000,8303
Vallila,kt,1h+alk.+k,"37,00",248700,6722
Meilahti,kt,"1h, avok, kph","18,00",182000,10111
Punavuori,kt,"1h, kk, alk, kp...","31,50",250000,7937
Kallio,kt,"1h, keittiö...","35,00",246000,7029
Vallila,kt,"1h, k","40,00",254000,6350
Jätkäsaari,kt,"1h, avok, lasit...","23,50",269000,11447
Puotila,kt,"1huone, alkovi,...","24,00",127000,5292
Töölö,kt,1h+kk+kph,"25,00",197000,7880
Taka-töölö,kt,"1h, alkovi, kk,...","27,00",225000,8333
Kamppi,kt,1h+k+vh+kph,"31,00",245000,7903
Pihlajamäki,kt,"1h, pk,kh,a","35,00",132000,3771
Lauttasaari,kt,1h+k+kph,"37,00",250000,6757
Etelä-haaga,kt,"1h, kk, parv","25,00",191000,7640
Etelä-haaga,kt,"1h,kk, kph","27,00",195000,7222
Alppiharju,kt,1h ja kk,"29,00",227000,7828
Etu-töölö,kt,1h+kk (yj:n muk...,"36,00",260000,7222
Etelä-haaga,kt,1-2h+kk+kph+ran...,"40,00",225000,5625
Laajasalo,kt,"1h,alk.kk,kph,e...","35,50",145000,4085
Käpylä,kt,"1 h, kt, kh, al...","23,50",193500,8234
Kruununhaka,kt,1h+kk,"25,50",255000,10000
Etelä-haaga,kt,"1h, kk, kh","28,00",190000,6786
Kamppi,kt,1 h+kk+alk,"34,50",248500,7203
Kallio,kt,"1 h, k, kph","35,00",245000,7000
Kamppi,kt,"1h, avok, kph","24,50",220000,8980
Kannelmäki,kt,1h + kk,"25,00",135000,5400
Pitäjänmäki,kt,"1h, k, alk, p","35,00",120000,3429
Pajamäki,kt,1 h+kk,"27,00",159000,5889
Ullanlinna,kt,"1h, kk","32,00",265000,8281
Töölö,kt,1h+kk+kh,"25,00",245000,9800
Pasila,kt,1h+kt,"27,00",229000,8481
Kamppi,kt,1 h+k+kph,"19,00",207000,10895
Kallio,kt,"1h, k, kph","38,00",240000,6316
Alppiharju,kt,1h+alk+et+wc,"29,00",247000,8517
Vallila,kt,"1h, avok., alko...","32,00",255000,7969
Tapulikaupunki,kt,1h+kk,"34,00",121000,3559
Torkkelinmäki,kt,1h + k + kph,"36,00",380000,10556
Etu-töölö,kt,"1h,minikeitti&#...","20,00",205000,10250
Etu-töölö,kt,"1h, avok, kph, et","25,00",225000,9000
Alppila,kt,"1 h, avok, psh","28,00",190000,6786
Toukola,kt,"1h, avok ja ter...","29,00",207000,7138
Pukinmäki,kt,"1h, kk, parveke","32,00",155000,4844
Ullanlinna,kt,"1h, kk, sh","24,00",235000,9792
Kamppi,kt,1h+kk+kph,"25,00",248000,9920
Pihlajisto,kt,1h+kt,"28,00",293690,10489
Tapulikaupunki,kt,1h+kk,"30,00",123000,4100
Alppila,kt,"1h,k","40,10",255150,6363
Vallila,kt,"1h, kk alkovi, kph","25,00",189000,7560
Alppiharju,kt,1h+kt+kph+et,"24,00",221000,9208
Kallio,kt,"1h, k, alkovi","40,00",270000,6750
Roihuvuori,kt,"1h, avok, kph, ...","25,50",178000,6980
Kallio,kt,1h+k+kph,"35,00",255500,7300
Herttoniemi,kt,1h+kk+kh,"27,60",202000,7319
Lauttasaari,kt,1h+kk+kph,"21,00",189000,9000
Punavuori,kt,1h+kk+kph,"21,50",240000,11163
Hermanni,kt,"1h, k ja kph","29,00",208000,7172
Roihuvuori,kt,"1h, avokeitti&#...","36,50",205050,5618
Alppila,kt,"1h, k, alk","39,00",285000,7308
Meilahti,kt,"1h, kt, kph","20,40",175000,8578
Harju,kt,1h+kk,"22,00",173500,7886
Laajasalo,kt,"1 h, kk ja lasi...","23,50",160000,6809
Vallila,kt,1h+kk,"25,00",202000,8080
Vallila,kt,"1h, kk, kph","31,50",200000,6349
Alppikylä,kt,1h+avok+kph+p,"28,00",146000,5214
Koskela,kt,"1h, kk, alkovi,...","28,50",188000,6596
Konala,kt,"1-2 h, kk, kph,...","31,00",113000,3645
Kamppi,kt,1h+k+vh+kph,"40,00",320000,8000
Kamppi,kt,"1h, kk","31,50",275000,8730
Lauttasaari,kt,"1h,kk,kph,vh, l...","28,00",210000,7500
Vallila,kt,1h + k + parvi ...,"36,00",244999,6806
Puotila,kt,1h+kk+kh,"31,00",130200,4200
Tapanila,kt,"1h, ikk. kk, kph","29,00",135000,4655
Tammisalo,kt,1h+kk+kph+lasit...,"31,00",125000,4032
Kamppi,kt,1h+kk,"32,00",314000,9813
Hakaniemi,kt,"1h, avok, kph","22,00",170000,7727
Taka-töölö,kt,"1h, kk, kh","26,00",238000,9154
Taka-töölö,kt,"1 h, kt, kh","30,00",270000,9000
Ullanlinna,kt,"1h, alk., kk, kh","33,00",266000,8061
Reimarla,kt,1h+kk+parveke,"29,00",134000,4621
Puotila,kt,"1h, kk, kph, vh, p","37,50",115000,3067
Taka-töölö,kt,"1h, avok ja kph","20,00",172000,8600
Kalasatama,kt,"1h, avok, lasit...","21,00",238000,11333
Pohjois-haaga,kt,"1h, k, vh, piha.","29,00",175000,6034
Kruununhaka,kt,1h+kk+kph,"30,00",275000,9167
Etelä-haaga,kt,1 h+ks,"20,00",161000,8050
Punavuori,kt,"1h, k, kph","36,50",350000,9589
Alppila,kt,1h+kk,"18,00",148000,8222
Etu-töölö,kt,1 h,"29,50",255000,8644
Ullanlinna,kt,"1h, eteiskeitti...","31,00",251000,8097
Kallio,kt,"1h, alkovi, kk,...","35,50",301000,8479
Kamppi,kt,"1h, k, kph","36,00",300000,8333
Kallio,kt,"1h, kk","25,00",197500,7900
Haaga,kt,"1h, kk","26,00",162000,6231
Maunula,kt,1 h + kk + kph ...,"27,00",150000,5556
Koskela,kt,1h+k,"35,00",148000,4229
Kontula,kt,"1h, kk","31,00",145000,4677
Mellunkylä,kt,1h+avok.,"35,50",171000,4817
Hermanni,kt,1h+kk,"28,00",209500,7482
Lassila,kt,"1h, kk, alkovi,...","35,50",150000,4225
Kamppi,kt,1h+kk+kph,"22,00",230100,10459
Kamppi,kt,1h+avokeitti...,"32,00",265000,8281
Töölö,kt,"1h, k, kph, ran...","33,00",291000,8818
Etu-töölö,kt,"1-2h, avok, kph","42,00",327600,7800
Kallio,kt,"1h, kk, kph","18,00",176000,9778
Taka-töölö,kt,"huone, avok, kph","30,00",221000,7367
Munkkiniemi,kt,1h + kk+ kph,"34,50",225500,6536
Kamppi,kt,"1 h, k, alk, kph","43,00",329000,7651
Ullanlinna,kt,1h+avok+alkovi+...,"47,00",385000,8191
Kuninkaantammi,kt,,"12,00",15000,1250
Kallio,kt,1h+kk+kph+parvi,"19,00",150500,7921
Meilahti,kt,1 h+kk+kph,"20,00",166000,8300
Punavuori,kt,1h+avokeitti...,"25,00",235000,9400
Taka-töölö,kt,1h+kk,"20,00",190000,9500
Kallio,kt,"1h, kk, kph, vh...","25,50",220000,8627
Etelä-haaga,kt,"1h, kk, kph, las.p","25,60",190500,7441
Munkkivuori,kt,1h+kk+kph+ransk.p,"28,50",212000,7439
Alppiharju,kt,1h+avokeittiö,"31,00",236000,7613
Vuosaari,kt,"1h, k, kph, vh,...","37,50",163000,4347
Kallio,kt,"1h, avok, alk, kph","38,00",270000,7105
Sörnäinen,kt,1h+avok+kph,"27,00",205000,7593
Munkkiniemi,kt,"1h, avok, kph","28,00",220000,7857
