area,type,room,sqm,price,price/sqm,rooms
Merihaka,Kerrostalo,"1h, kk",32.0,190000,5938,1
Ullanlinna,Kerrostalo,"1h, kk, kph, s,...",33.0,365000,11061,1
Etelä-haaga,Kerrostalo,"1 h, kk, kh",25.0,156000,6240,1
Harju,Kerrostalo,1h+kk+lasitettu...,30.0,202000,6733,1
Etelä-haaga,Kerrostalo,"1h+alkovi, avok...",27.0,191000,7074,1
Pukinmäki,Kerrostalo,1h+k+kph+las.pa...,31.5,150000,4762,1
Vallila,Kerrostalo,"1h,k,alk,kh",40.5,270000,6667,1
Herttoniemi,Kerrostalo,"1 h, k, kph",42.0,245000,5833,1
Vallila,Kerrostalo,1h+avok+kph,23.0,196000,8522,1
Punavuori,Kerrostalo,1h+k+m.alk.+wc,36.0,290000,8056,1
Vuosaari,Kerrostalo,"1h, kk, kph, la...",32.0,145000,4531,1
Sörnäinen,Kerrostalo,1h,23.0,162000,7043,1
Hakaniemi,Kerrostalo,"1h,kk,wc/suihku",25.0,160000,6400,1
Kallio,Kerrostalo,1h+k,45.0,293000,6511,1
Kannelmäki,Kerrostalo,"1h, avok, kph",27.0,135000,5000,1
Etelä-haaga,Kerrostalo,1h+avok.+kph+vh...,27.0,211500,7833,1
Sörnäinen,Kerrostalo,1 h+k+kph,17.0,164000,9647,1
Sörnäinen,Kerrostalo,"1h, avok, kph",25.0,190000,7600,1
Alppiharju,Kerrostalo,1h+kk,26.0,188000,7231,1
Meilahti,Kerrostalo,"1h, avok, kph/w...",41.0,320000,7805,1
Katajanokka,Kerrostalo,1h,18.0,210000,11667,1
Etu-töölö,Kerrostalo,1h+kk,31.0,280000,9032,1
Puotila,Kerrostalo,1h+kk+p,33.0,142000,4303,1
Kallio,Kerrostalo,"1h, kk, kph",25.0,180000,7200,1
Lauttasaari,Kerrostalo,"1h, alkovi, kk,...",27.5,215000,7818,1
Vartiokylä,Kerrostalo,"1h, kk ,kph, pa...",28.0,143000,5107,1
Etu-töölö,Kerrostalo,"1h, avokeitti&#...",32.0,305000,9531,1
Ullanlinna,Kerrostalo,"1h, k, kph, alk...",56.0,575000,10268,1
Taka-töölö,Kerrostalo,"1h, avok kph ",26.0,253000,9731,1
Töölö,Kerrostalo,"1h, avok",17.0,165000,9706,1
Sörnäinen,Kerrostalo,1h+kk,18.2,150000,8242,1
Mellunkylä,Kerrostalo,"1h, avok, ransk...",29.5,139000,4712,1
Kallio,Kerrostalo,1h+alk.+kk+kph,30.0,185000,6167,1
Etelä-haaga,Kerrostalo,1h+kk,23.9,180000,7531,1
Alppila,Kerrostalo,"1h, avok, kph",24.0,200000,8333,1
Käpylä,Kerrostalo,"1h, kk ja alkovi",30.0,185000,6167,1
Kallio,Kerrostalo,1h+k+alk,48.0,305000,6354,1
Etu-töölö,Kerrostalo,"1-2 h, k, kph",49.0,397000,8102,1
Kruununhaka,Kerrostalo,"1h, k, kph",47.0,365000,7766,1
Meilahti,Kerrostalo,"1h, kk,kph",25.0,165000,6600,1
Sörnäinen,Kerrostalo,"1h, kk, kph, parvi",28.0,237000,8464,1
Viikki,Kerrostalo,"1h, kk, alkovi,...",43.5,225000,5172,1
Taka-töölö,Kerrostalo,1h+kk+kph,20.0,158200,7910,1
Kruununhaka,Kerrostalo,1h+kk,21.0,202000,9619,1
Konala,Kerrostalo,"1h, kk, alkovi,...",31.0,125900,4061,1
Kaarela,Kerrostalo,1h+kk,25.0,148000,5920,1
Kamppi,Kerrostalo,1h + kk + kph + et,25.0,240000,9600,1
Etu-töölö,Kerrostalo,1h+avok+kph,26.0,228000,8769,1
Länsi-pakila,Kerrostalo,"1 h, kk, kph, l...",30.5,160000,5246,1
Kallio,Kerrostalo,"1h, avok, alk j...",35.0,267000,7629,1
Harju,Kerrostalo,"1h, k, kph",38.8,248000,6392,1
Kruununhaka,Kerrostalo,"1-2h, avok, kph...",54.0,470000,8704,1
Vallila,Kerrostalo,1h + k,31.0,235000,7581,1
Kallio,Kerrostalo,1 h + kk,34.0,218000,6412,1
Kallio,Kerrostalo,"1h, k, kph",34.0,246000,7235,1
Lauttasaari,Kerrostalo,"1h, avok, kph, ...",38.0,297000,7816,1
Punavuori,Kerrostalo,"1h, alkovi, k, kph",42.0,385000,9167,1
Kallio,Kerrostalo,"1h,kk",25.0,206000,8240,1
Kallio,Kerrostalo,"1h, avok, kph",21.8,199000,9128,1
Pajamäki,Kerrostalo,"1h, kk",24.0,153000,6375,1
Suurmetsä,Kerrostalo,"1h, kk, kph",33.5,86000,2567,1
Laajasalo,Kerrostalo,1h+kk,29.5,135000,4576,1
Kamppi,Kerrostalo,1 h+k+kph+parvi,31.5,288000,9143,1
Harju,Kerrostalo,"1h, keittiö...",40.0,280000,7000,1
Pihlajamäki,Kerrostalo,"1 h, kk, kph (Y...",24.5,115000,4694,1
Tapaninvainio,Kerrostalo,"1h,kk,kph, lasi...",33.5,134000,4000,1
Kumpula,Kerrostalo,1h+tupak+s,38.0,210000,5526,1
Ullanlinna,Kerrostalo,1h,21.5,250000,11628,1
Lauttasaari,Kerrostalo,1h+kk+kph+et,30.0,210000,7000,1
Kallio,Kerrostalo,"1h, kk",26.0,195000,7500,1
Etu-töölö,Kerrostalo,"1h,k",36.5,275000,7534,1
Taka-töölö,Kerrostalo,"1h, kk, kph",21.0,168000,8000,1
Torkkelinmäki,Kerrostalo,"1h, avok, kph j...",32.0,212000,6625,1
Kallio,Kerrostalo,"1h, kk, alk, kp...",28.0,220000,7857,1
Etu-töölö,Kerrostalo,1h+kk+kph,34.5,262000,7594,1
Punavuori,Kerrostalo,"1-2h, k, kph, wc",41.5,351000,8458,1
Etu-töölö,Kerrostalo,"1h, kk, kph",23.0,242000,10522,1
Harju,Kerrostalo,1h+kk+kph+parvi...,26.0,204000,7846,1
Niemenmäki,Kerrostalo,"1h, k, kph, et,...",29.5,210000,7119,1
Lauttasaari,Kerrostalo,"1h, kk, kph",24.0,225000,9375,1
Pohjois-haaga,Kerrostalo,"1h, kk, kh",29.0,170000,5862,1
Torkkelinmäki,Kerrostalo,1h+avok.+kh+ran...,33.5,195000,5821,1
Etu-töölö,Kerrostalo,"1h, avok, kph",19.2,203000,10573,1
Vallila,Kerrostalo,1h+k+alkovi+kph,40.0,230000,5750,1
Taka-töölö,Kerrostalo,1h+k,31.5,239000,7587,1
Vallila,Kerrostalo,1h+kt+alk+p,44.0,357000,8114,1
Taka-töölö,Kerrostalo,"1h, kk, kph",28.0,188000,6714,1
Punavuori,Kerrostalo,"1h, k, kph",29.0,286000,9862,1
Oulunkylä,Kerrostalo,1h+kt+parveke,27.5,247000,8982,1
Kruununhaka,Kerrostalo,1h+k,29.0,241000,8310,1
Etu-töölö,Kerrostalo,"1h, alk, avok, kph",31.5,337000,10698,1
Alppila,Kerrostalo,1h+k,33.0,223000,6758,1
Laajasalo,Kerrostalo,"1h, kk, kph, la...",24.0,141000,5875,1
Siltamäki,Kerrostalo,"1h, kk, las.par...",26.0,95000,3654,1
Kallio,Kerrostalo,"1h, kk, kph, vh",28.0,230000,8214,1
Alppiharju,Kerrostalo,"1h, avok, kph/w...",29.5,244500,8288,1
Vuosaari,Kerrostalo,"1 h, avok., kph, p",30.0,165000,5500,1
Vallila,Kerrostalo,"1h, avok",27.5,252500,9182,1
Herttoniemi,Kerrostalo,"1h, avok+kh",34.0,199000,5853,1
Punavuori,Kerrostalo,"1h, k, kph, et,...",39.5,385000,9747,1
Meilahti,Kerrostalo,"1h, kk",31.0,232000,7484,1
Taka-töölö,Kerrostalo,"1 h, kt, kh (YJ...",40.0,240000,6000,1
Sörnäinen,Kerrostalo,"1h, avok, kph",27.0,195500,7241,1
Alppila,Kerrostalo,1 h+k+kph+las. ...,29.5,235000,7966,1
Lassila,Kerrostalo,"1h, kk, kph, la...",31.0,145000,4677,1
Lassila,Kerrostalo,"1h, kk",32.0,145000,4531,1
Punavuori,Kerrostalo,1h+kk+alkovi,36.8,292000,7935,1
Herttoniemi,Kerrostalo,"1h, avok, alkov...",37.0,230000,6216,1
Kamppi,Kerrostalo,"1 huone, kph",20.5,225000,10976,1
Kallio,Kerrostalo,1h+kk,30.0,215000,7167,1
Kamppi,Kerrostalo,1h+k+kh+parveke,45.0,333500,7411,1
Pitäjänmäki,Kerrostalo,"1h, kk, kph",24.0,127000,5292,1
Ullanlinna,Kerrostalo,1h+kk+kph,24.0,215000,8958,1
Herttoniemi,Kerrostalo,"1h, kk, kph/wc ...",31.0,204000,6581,1
Munkkiniemi,Kerrostalo,"1h, kk, rh, kph",34.5,305000,8841,1
Taka-töölö,Kerrostalo,"1h,kk,kph",22.5,169500,7533,1
Vallila,Kerrostalo,1h+k+kph,41.0,250000,6098,1
Kallio,Kerrostalo,1h+kk,25.0,158000,6320,1
Hermanni,Kerrostalo,"1h, avokeitti&#...",28.0,215000,7679,1
Kumpula,Kerrostalo,1h + avok. + kph ,30.2,220000,7285,1
Aurinkolahti,Kerrostalo,1h+kt+alkovi+pa...,32.5,191000,5877,1
Kallio,Kerrostalo,"1h, keittiö...",42.0,276000,6571,1
Töölö,Kerrostalo,1h + kk,22.0,215000,9773,1
Lauttasaari,Kerrostalo,1h+kk,27.5,225000,8182,1
Etelä-haaga,Kerrostalo,"1h k, kph, alkovi",29.0,205000,7069,1
Ullanlinna,Kerrostalo,"1h, k, alk, kph",37.9,325000,8575,1
Etu-töölö,Kerrostalo,"1 h, keitti...",40.7,345000,8477,1
Kallio,Kerrostalo,"1h,k, alkovi",41.0,261000,6366,1
Punavuori,Kerrostalo,"1 h, k, alkovi, kh",44.5,340000,7640,1
Munkkiniemi,Kerrostalo,"1h, kk",20.0,185000,9250,1
Kallio,Kerrostalo,"1h, kk, kph, er...",30.0,220000,7333,1
Oulunkylä,Kerrostalo,1h+k,33.0,142000,4303,1
Oulunkylä,Kerrostalo,1h+kt (x,23.0,182000,7913,1
Vuosaari,Kerrostalo,"1h, kk, kph, p",25.7,139000,5409,1
Malmi,Kerrostalo,1h+kn+kph+lasit...,34.0,128500,3779,1
Kallio,Kerrostalo,1h+kk+parvi+wc/kph,25.6,230000,8984,1
Taka-töölö,Kerrostalo,1h+kk+kph,21.5,170000,7907,1
Vallila,Kerrostalo,"1h, avok, alkov...",38.0,242000,6368,1
Lauttasaari,Kerrostalo,1h+keittiö...,43.0,350000,8140,1
Kallio,Kerrostalo,1H+K,33.0,274000,8303,1
Vallila,Kerrostalo,1h+alk.+k,37.0,248700,6722,1
Meilahti,Kerrostalo,"1h, avok, kph",18.0,182000,10111,1
Punavuori,Kerrostalo,"1h, kk, alk, kp...",31.5,250000,7937,1
Kallio,Kerrostalo,"1h, keittiö...",35.0,246000,7029,1
Vallila,Kerrostalo,"1h, k",40.0,254000,6350,1
Jätkäsaari,Kerrostalo,"1h, avok, lasit...",23.5,269000,11447,1
Puotila,Kerrostalo,"1huone, alkovi,...",24.0,127000,5292,1
Töölö,Kerrostalo,1h+kk+kph,25.0,197000,7880,1
Taka-töölö,Kerrostalo,"1h, alkovi, kk,...",27.0,225000,8333,1
Kamppi,Kerrostalo,1h+k+vh+kph,31.0,245000,7903,1
Pihlajamäki,Kerrostalo,"1h, pk,kh,a",35.0,132000,3771,1
Lauttasaari,Kerrostalo,1h+k+kph,37.0,250000,6757,1
Etelä-haaga,Kerrostalo,"1h, kk, parv",25.0,191000,7640,1
Etelä-haaga,Kerrostalo,"1h,kk, kph",27.0,195000,7222,1
Alppiharju,Kerrostalo,1h ja kk,29.0,227000,7828,1
Etu-töölö,Kerrostalo,1h+kk (yj:n muk...,36.0,260000,7222,1
Etelä-haaga,Kerrostalo,1-2h+kk+kph+ran...,40.0,225000,5625,1
Laajasalo,Kerrostalo,"1h,alk.kk,kph,e...",35.5,145000,4085,1
Käpylä,Kerrostalo,"1 h, kt, kh, al...",23.5,193500,8234,1
Kruununhaka,Kerrostalo,1h+kk,25.5,255000,10000,1
Etelä-haaga,Kerrostalo,"1h, kk, kh",28.0,190000,6786,1
Kamppi,Kerrostalo,1 h+kk+alk,34.5,248500,7203,1
Kallio,Kerrostalo,"1 h, k, kph",35.0,245000,7000,1
Kamppi,Kerrostalo,"1h, avok, kph",24.5,220000,8980,1
Kannelmäki,Kerrostalo,1h + kk,25.0,135000,5400,1
Pitäjänmäki,Kerrostalo,"1h, k, alk, p",35.0,120000,3429,1
Pajamäki,Kerrostalo,1 h+kk,27.0,159000,5889,1
Ullanlinna,Kerrostalo,"1h, kk",32.0,265000,8281,1
Töölö,Kerrostalo,1h+kk+kh,25.0,245000,9800,1
Pasila,Kerrostalo,1h+kt,27.0,229000,8481,1
Kamppi,Kerrostalo,1 h+k+kph,19.0,207000,10895,1
Kallio,Kerrostalo,"1h, k, kph",38.0,240000,6316,1
Alppiharju,Kerrostalo,1h+alk+et+wc,29.0,247000,8517,1
Vallila,Kerrostalo,"1h, avok., alko...",32.0,255000,7969,1
Tapulikaupunki,Kerrostalo,1h+kk,34.0,121000,3559,1
Torkkelinmäki,Kerrostalo,1h + k + kph,36.0,380000,10556,1
Etu-töölö,Kerrostalo,"1h,minikeitti&#...",20.0,205000,10250,1
Etu-töölö,Kerrostalo,"1h, avok, kph, et",25.0,225000,9000,1
Alppila,Kerrostalo,"1 h, avok, psh",28.0,190000,6786,1
Toukola,Kerrostalo,"1h, avok ja ter...",29.0,207000,7138,1
Pukinmäki,Kerrostalo,"1h, kk, parveke",32.0,155000,4844,1
Ullanlinna,Kerrostalo,"1h, kk, sh",24.0,235000,9792,1
Kamppi,Kerrostalo,1h+kk+kph,25.0,248000,9920,1
Pihlajisto,Kerrostalo,1h+kt,28.0,293690,10489,1
Tapulikaupunki,Kerrostalo,1h+kk,30.0,123000,4100,1
Alppila,Kerrostalo,"1h,k",40.1,255150,6363,1
Vallila,Kerrostalo,"1h, kk alkovi, kph",25.0,189000,7560,1
Alppiharju,Kerrostalo,1h+kt+kph+et,24.0,221000,9208,1
Kallio,Kerrostalo,"1h, k, alkovi",40.0,270000,6750,1
Roihuvuori,Kerrostalo,"1h, avok, kph, ...",25.5,178000,6980,1
Kallio,Kerrostalo,1h+k+kph,35.0,255500,7300,1
Herttoniemi,Kerrostalo,1h+kk+kh,27.6,202000,7319,1
Lauttasaari,Kerrostalo,1h+kk+kph,21.0,189000,9000,1
Punavuori,Kerrostalo,1h+kk+kph,21.5,240000,11163,1
Hermanni,Kerrostalo,"1h, k ja kph",29.0,208000,7172,1
Roihuvuori,Kerrostalo,"1h, avokeitti&#...",36.5,205050,5618,1
Alppila,Kerrostalo,"1h, k, alk",39.0,285000,7308,1
Meilahti,Kerrostalo,"1h, kt, kph",20.4,175000,8578,1
Harju,Kerrostalo,1h+kk,22.0,173500,7886,1
Laajasalo,Kerrostalo,"1 h, kk ja lasi...",23.5,160000,6809,1
Vallila,Kerrostalo,1h+kk,25.0,202000,8080,1
Vallila,Kerrostalo,"1h, kk, kph",31.5,200000,6349,1
Alppikylä,Kerrostalo,1h+avok+kph+p,28.0,146000,5214,1
Koskela,Kerrostalo,"1h, kk, alkovi,...",28.5,188000,6596,1
Konala,Kerrostalo,"1-2 h, kk, kph,...",31.0,113000,3645,1
Kamppi,Kerrostalo,1h+k+vh+kph,40.0,320000,8000,1
Kamppi,Kerrostalo,"1h, kk",31.5,275000,8730,1
Lauttasaari,Kerrostalo,"1h,kk,kph,vh, l...",28.0,210000,7500,1
Vallila,Kerrostalo,1h + k + parvi ...,36.0,244999,6806,1
Puotila,Kerrostalo,1h+kk+kh,31.0,130200,4200,1
Tapanila,Kerrostalo,"1h, ikk. kk, kph",29.0,135000,4655,1
Tammisalo,Kerrostalo,1h+kk+kph+lasit...,31.0,125000,4032,1
Kamppi,Kerrostalo,1h+kk,32.0,314000,9813,1
Hakaniemi,Kerrostalo,"1h, avok, kph",22.0,170000,7727,1
Taka-töölö,Kerrostalo,"1h, kk, kh",26.0,238000,9154,1
Taka-töölö,Kerrostalo,"1 h, kt, kh",30.0,270000,9000,1
Ullanlinna,Kerrostalo,"1h, alk., kk, kh",33.0,266000,8061,1
Reimarla,Kerrostalo,1h+kk+parveke,29.0,134000,4621,1
Puotila,Kerrostalo,"1h, kk, kph, vh, p",37.5,115000,3067,1
Taka-töölö,Kerrostalo,"1h, avok ja kph",20.0,172000,8600,1
Kalasatama,Kerrostalo,"1h, avok, lasit...",21.0,238000,11333,1
Pohjois-haaga,Kerrostalo,"1h, k, vh, piha.",29.0,175000,6034,1
Kruununhaka,Kerrostalo,1h+kk+kph,30.0,275000,9167,1
Etelä-haaga,Kerrostalo,1 h+ks,20.0,161000,8050,1
Punavuori,Kerrostalo,"1h, k, kph",36.5,350000,9589,1
Alppila,Kerrostalo,1h+kk,18.0,148000,8222,1
Etu-töölö,Kerrostalo,1 h,29.5,255000,8644,1
Ullanlinna,Kerrostalo,"1h, eteiskeitti...",31.0,251000,8097,1
Kallio,Kerrostalo,"1h, alkovi, kk,...",35.5,301000,8479,1
Kamppi,Kerrostalo,"1h, k, kph",36.0,300000,8333,1
Kallio,Kerrostalo,"1h, kk",25.0,197500,7900,1
Haaga,Kerrostalo,"1h, kk",26.0,162000,6231,1
Maunula,Kerrostalo,1 h + kk + kph ...,27.0,150000,5556,1
Koskela,Kerrostalo,1h+k,35.0,148000,4229,1
Kontula,Kerrostalo,"1h, kk",31.0,145000,4677,1
Mellunkylä,Kerrostalo,1h+avok.,35.5,171000,4817,1
Hermanni,Kerrostalo,1h+kk,28.0,209500,7482,1
Lassila,Kerrostalo,"1h, kk, alkovi,...",35.5,150000,4225,1
Kamppi,Kerrostalo,1h+kk+kph,22.0,230100,10459,1
Kamppi,Kerrostalo,1h+avokeitti...,32.0,265000,8281,1
Töölö,Kerrostalo,"1h, k, kph, ran...",33.0,291000,8818,1
Etu-töölö,Kerrostalo,"1-2h, avok, kph",42.0,327600,7800,1
Kallio,Kerrostalo,"1h, kk, kph",18.0,176000,9778,1
Munkkiniemi,Kerrostalo,1h + kk+ kph,34.5,225500,6536,1
Kamppi,Kerrostalo,"1 h, k, alk, kph",43.0,329000,7651,1
Ullanlinna,Kerrostalo,1h+avok+alkovi+...,47.0,385000,8191,1
Kallio,Kerrostalo,1h+kk+kph+parvi,19.0,150500,7921,1
Meilahti,Kerrostalo,1 h+kk+kph,20.0,166000,8300,1
Punavuori,Kerrostalo,1h+avokeitti...,25.0,235000,9400,1
Taka-töölö,Kerrostalo,1h+kk,20.0,190000,9500,1
Kallio,Kerrostalo,"1h, kk, kph, vh...",25.5,220000,8627,1
Etelä-haaga,Kerrostalo,"1h, kk, kph, las.p",25.6,190500,7441,1
Munkkivuori,Kerrostalo,1h+kk+kph+ransk.p,28.5,212000,7439,1
Alppiharju,Kerrostalo,1h+avokeittiö,31.0,236000,7613,1
Vuosaari,Kerrostalo,"1h, k, kph, vh,...",37.5,163000,4347,1
Kallio,Kerrostalo,"1h, avok, alk, kph",38.0,270000,7105,1
Sörnäinen,Kerrostalo,1h+avok+kph,27.0,205000,7593,1
Munkkiniemi,Kerrostalo,"1h, avok, kph",28.0,220000,7857,1
Kamppi,Kerrostalo,"1h, k, kph, parvi",29.5,281000,9525,1
Kallio,Kerrostalo,"1h,alk,keitti&#...",46.1,316500,6866,1
Alppila,Kerrostalo,1h+kk,27.0,210000,7778,1
Kallio,Kerrostalo,"1h, avokeitti&#...",24.5,219676,8966,1
Kallio,Kerrostalo,1h+kk,29.5,254000,8610,1
Munkkiniemi,Kerrostalo,"1h, avok, kph, ...",36.0,293000,8139,1
Punavuori,Kerrostalo,1h+kk,22.6,196000,8673,1
Etelä-haaga,Kerrostalo,"1h, alkovi, kk,...",27.0,178000,6593,1
Lauttasaari,Kerrostalo,"1h, avokeitti&#...",30.0,190000,6333,1
Arabianranta,Kerrostalo,1h + kk + kph + p,34.5,235000,6812,1
Kamppi,Kerrostalo,1 h+kk+alk,31.0,270000,8710,1
Hermanni,Kerrostalo,"1h, kk, kph, vh",28.0,177000,6321,1
Punavuori,Kerrostalo,1h + kk,21.2,155000,7311,1
Lauttasaari,Kerrostalo,1h+kk,22.5,199000,8844,1
Torkkelinmäki,Kerrostalo,"1h,k,kph",53.0,340000,6415,1
Etu-töölö,Kerrostalo,1h+kk+kph+et,23.0,225000,9783,1
Punavuori,Kerrostalo,1h,29.2,236000,8082,1
Munkkiniemi,Kerrostalo,1h+kk+kph+parveke,33.0,267300,8100,1
Taka-töölö,Kerrostalo,"1h,kk,kh,alkovi",40.0,320000,8000,1
Kamppi,Kerrostalo,"1h, avok, kph",20.0,226000,11300,1
Laakso,Kerrostalo,"1h, kk",24.0,211000,8792,1
Kallio,Kerrostalo,1h+kk,28.0,210000,7500,1
Malmi,Kerrostalo,1h+kk+alkovi+kp...,39.0,185000,4744,1
Kamppi,Kerrostalo,1h+k,41.0,353300,8617,1
Harju,Kerrostalo,"1h, avok, kph",22.0,186000,8455,1
Ullanlinna,Kerrostalo,1h+avok+kph,24.0,205000,8542,1
Punavuori,Kerrostalo,"1h, k",44.0,323000,7341,1
Pitäjänmäki,Kerrostalo,1h+k+kph+p (yj:...,33.5,126800,3785,1
Etelä-haaga,Kerrostalo,"1h, kk, kph, vh...",30.7,212000,6906,1
Kallio,Kerrostalo,1h+kt,41.0,323218,7883,1
Kamppi,Kerrostalo,"1h, kt, kph",25.5,225000,8824,1
Käpylä,Kerrostalo,1h +kk + kph,26.5,178000,6717,1
Mellunmäki,Kerrostalo,"1h, k, kph/wc (...",33.5,109000,3254,1
Katajanokka,Kerrostalo,"1h, avok, kph",29.0,262000,9034,1
Puotinharju,Kerrostalo,1h+kk,31.0,132000,4258,1
Munkkiniemi,Kerrostalo,"1h, kk, kph",34.5,212178,6150,1
Etelä-haaga,Kerrostalo,"1h, avok, alkov...",23.0,185000,8043,1
Etelä-haaga,Kerrostalo,"1h, kk, kph, pa...",27.4,211000,7701,1
Munkkiniemi,Kerrostalo,"1h, avok, kph, ...",30.5,390000,12787,1
Vallila,Kerrostalo,"1-2h, k, alk., ...",48.0,284000,5917,1
Lassila,Kerrostalo,"1h, kk, kph, vh...",30.5,160000,5246,1
Töölö,Kerrostalo,1h + k,48.0,361000,7521,1
Kaarela,Kerrostalo,"1h, kk",23.0,140000,6087,1
Itäkeskus,Kerrostalo,1h+kk,33.0,124000,3758,1
Kluuvi,Kerrostalo,"1h, kk, kph, vh",24.0,250000,10417,1
Pihlajamäki,Kerrostalo,1 h+avokeitti&#...,32.0,118000,3688,1
Malmi,Kerrostalo,"1h, k, kph/wc ,...",35.0,109000,3114,1
Lauttasaari,Kerrostalo,1h+keittiö...,43.0,286000,6651,1
Munkkivuori,Kerrostalo,1H+KK,22.0,145000,6591,1
Ylä-malmi,Kerrostalo,"1h, kk, parveke",30.5,135000,4426,1
Torkkelinmäki,Kerrostalo,"1h, avok, kph",25.5,200000,7843,1
Lauttasaari,Kerrostalo,1h+kt+viherhuone,30.5,301000,9869,1
Kallio,Kerrostalo,"1h, kk, kph, ra...",33.5,220000,6567,1
Taka-töölö,Kerrostalo,1h+kk,20.5,188500,9195,1
Lauttasaari,Kerrostalo,1 h + kk,22.0,198000,9000,1
Töölö,Kerrostalo,1h+alkovi,26.8,206500,7705,1
Pukinmäki,Kerrostalo,"1h, k, kph, vh,...",29.0,127000,4379,1
Konala,Kerrostalo,1h+kk,31.0,155000,5000,1
Malmi,Kerrostalo,1h+kk,31.5,152500,4841,1
Lassila,Kerrostalo,"1h, avokeitti&#...",35.0,192000,5486,1
Pihlajamäki,Kerrostalo,"1h, avok, kph/wc",24.5,122500,5000,1
Käpylä,Kerrostalo,1h+kk+kh,26.0,169000,6500,1
Kallio,Kerrostalo,"1h, avokeitti&#...",28.0,201000,7179,1
Ullanlinna,Kerrostalo,1h + kk,24.0,235000,9792,1
Maunula,Kerrostalo,"1h, kk Yj. muka...",24.1,167500,6950,1
Länsi-pakila,Kerrostalo,"1h, kk, kph, p ...",31.3,195000,6230,1
Ullanlinna,Kerrostalo,"2 h, avokeitti&...",34.1,280000,8211,2
Punavuori,Kerrostalo,"1h, k, alkovi, kph",42.0,385000,9167,1
Lauttasaari,Kerrostalo,1h+kk,30.0,235000,7833,1
Lassila,Kerrostalo,"1h, kk, kph, s,...",37.0,155000,4189,1
Meilahti,Kerrostalo,"1 h, kk, kh, wc...",23.0,175000,7609,1
Etelä-haaga,Kerrostalo,"1h, kk, kph, pa...",25.0,180000,7200,1
Kallio,Kerrostalo,1h+kk+kph,26.0,200000,7692,1
Munkkiniemi,Kerrostalo,1h +kk,30.0,220000,7333,1
Ullanlinna,Kerrostalo,"1h,k",42.0,440000,10476,1
Kamppi,Kerrostalo,"1h, avok, kph",21.5,230000,10698,1
Torkkelinmäki,Kerrostalo,"1h, avok, et, kph",32.5,267000,8215,1
Kallio,Kerrostalo,"1h, avok, wc",22.0,156000,7091,1
Kalasatama,Kerrostalo,"1h, avok, lasit...",23.0,250000,10870,1
Kallio,Kerrostalo,"1h, avok, kph, ...",25.0,205000,8200,1
Pajamäki,Kerrostalo,1h+kk,31.0,182000,5871,1
Pasila,Kerrostalo,"1h,kt",27.0,198500,7352,1
Hermanni,Kerrostalo,"1h, k, kph, alk...",41.0,271099,6612,1
Alppila,Kerrostalo,"1h, avok, kph",51.0,378000,7412,1
Alppila,Kerrostalo,"1h, kk",23.0,169550,7372,1
Kallio,Kerrostalo,1h+kk,29.0,228000,7862,1
Mellunmäki,Kerrostalo,"1h, kt, kph",30.0,115000,3833,1
Oulunkylä,Kerrostalo,"1h, kk, kph, pa...",33.0,163500,4955,1
Etelä-haaga,Kerrostalo,1h,25.5,180000,7059,1
Etelä-haaga,Kerrostalo,"1h, avok., kph,...",31.0,207000,6677,1
Etelä-haaga,Kerrostalo,1h+kk,24.0,119000,4958,1
Käpylä,Kerrostalo,"1h,avok, kph, l...",36.0,227479,6319,1
Kallio,Kerrostalo,"1 h, avok, pien...",22.8,148000,6491,1
Munkkivuori,Kerrostalo,1h+kk+kph+vh,31.7,205000,6467,1
Ullanlinna,Kerrostalo,1h+k+kph,49.8,420000,8434,1
Kallio,Kerrostalo,"1h, kk, kph",21.0,165000,7857,1
Kamppi,Kerrostalo,1h+kk+kph,21.5,238650,11100,1
Kallio,Kerrostalo,1h+tk+kph,28.0,217700,7775,1
Sörnäinen,Kerrostalo,"1h, avok, kph",29.0,235000,8103,1
Vallila,Kerrostalo,"1h, k, alk, kph",33.0,205000,6212,1
Lassila,Kerrostalo,"1h, avokeitti&#...",37.0,178000,4811,1
Etelä-haaga,Kerrostalo,"1h, kk ja vh",26.0,192000,7385,1
Alppila,Kerrostalo,1h+kk+kph+vh+ra...,28.0,212000,7571,1
Sörnäinen,Kerrostalo,"1h, avok. ja parvi",31.4,268000,8535,1
Ullanlinna,Kerrostalo,1h+avok+kph (yj...,34.0,310000,9118,1
Eira,Kerrostalo,"1h, k, alokovi,...",35.0,350500,10014,1
Lauttasaari,Kerrostalo,"1h, kk, kph",23.0,212000,9217,1
Herttoniemi,Kerrostalo,1h+kk+kph,27.0,174000,6444,1
Tapaninvainio,Kerrostalo,"1h,kk,kph,p (yh...",30.5,137500,4508,1
Munkkiniemi,Kerrostalo,"1h, kk",39.0,235000,6026,1
Kallio,Kerrostalo,"1h, avok, kph/wc",16.0,181000,11313,1
Kamppi,Kerrostalo,1h+kk,24.5,212000,8653,1
Konala,Kerrostalo,1h+kk,27.5,136000,4945,1
Etu-töölö,Kerrostalo,"1h, avok, alkov...",28.5,287000,10070,1
Pukinmäki,Kerrostalo,"1h,kk,p",32.0,145000,4531,1
Malminkartano,Kerrostalo,1h+kk+alkovi,36.5,131000,3589,1
Punavuori,Kerrostalo,"1h, kk, kph",26.0,245000,9423,1
Kruununhaka,Kerrostalo,"1h, k",41.0,355000,8659,1
