area,type,room,sqm,price,price/sqm,rooms
Kruununhaka,Kerrostalo,2-3h+avok+kph/w...,59.5,621000,10437,2
Etu-töölö,Kerrostalo,"2h, avok, kph, vh",61.0,425000,6967,2
Etu-töölö,Kerrostalo,"2h,avok, kph, vh",66.0,450000,6818,2
Punavuori,Kerrostalo,2h+avok+kph+p,37.0,484000,13081,2
Harju,Kerrostalo,1-2h+avok.+ty&#...,50.0,352000,7040,1
Kruununhaka,Kerrostalo,"2h, kk, alkovi,...",65.0,480000,7385,2
Ullanlinna,Kerrostalo,2h+avokeitti...,40.0,385200,9630,2
Oulunkylä,Kerrostalo,"2h, k, kph, par...",49.0,210000,4286,2
Etelä-haaga,Kerrostalo,"2h, k, kph ja p...",54.0,230000,4259,2
Kontula,Kerrostalo,2h+k+kh+wc+p,57.0,140000,2456,2
Malmi,Kerrostalo,2h+k,44.0,138000,3136,2
Roihuvuori,Kerrostalo,2H+KT+S,47.5,270000,5684,2
Itä-pasila,Kerrostalo,"2 h, k, kph, p",56.5,210000,3717,2
Kruununhaka,Kerrostalo,"2h, avok, kph, ...",37.5,480000,12800,2
Käpylä,Kerrostalo,"2 h, avok, kph, p",48.0,257000,5354,2
Punavuori,Kerrostalo,"2h, avok, kph/w...",56.0,482368,8614,2
Pohjois-haaga,Kerrostalo,"2h, k, k, vh, l...",57.4,184000,3206,2
Koskela,Kerrostalo,"2h, k, kph, las...",63.0,175000,2778,2
Pitäjänmäki,Kerrostalo,2h+kk+khp+p,38.0,208000,5474,2
Kuninkaantammi,Kerrostalo,2h+k+kph+et+ter...,47.0,219000,4660,2
Itäkeskus,Kerrostalo,2h+k+kph,50.0,272000,5440,2
Myllypuro,Kerrostalo,2h+kk+kph+vh+la...,51.0,182000,3569,2
Maunula,Kerrostalo,"2 h, k, kph, p ...",51.0,198000,3882,2
Roihuvuori,Kerrostalo,"2h, k, kph, las...",52.0,259000,4981,2
Munkkivuori,Kerrostalo,2h+k,53.0,315000,5943,2
Ruskeasuo,Kerrostalo,"2h, avok, kph, ...",43.5,275000,6322,2
Mellunmäki,Kerrostalo,"2h, k, kph, las...",50.5,128000,2535,2
Kontula,Kerrostalo,2h+kk,53.0,120000,2264,2
Ullanlinna,Kerrostalo,"2h, kk, et, kph",41.0,379000,9244,2
Kallio,Kerrostalo,"2h,avok,kph,vh",51.0,284000,5569,2
Aurinkolahti,Kerrostalo,"2h, k, kph, s, ...",54.0,238000,4407,2
Kallio,Kerrostalo,1h + 2alk + k,54.0,325000,6019,1
Myllypuro,Kerrostalo,"2h, k, kph, par...",54.5,174000,3193,2
Pohjois-haaga,Kerrostalo,"2h, k, kph/wc, ...",52.5,255000,4857,2
Sörnäinen,Kerrostalo,"2h, k, kph, sau...",59.5,390000,6555,2
Munkkivuori,Kerrostalo,"2h, k, kph, vh, p",48.9,249500,5102,2
Myllypuro,Kerrostalo,"2h, k, kph, vh,...",60.5,195000,3223,2
Pohjois-haaga,Kerrostalo,2h+k,51.0,276000,5412,2
Pihlajisto,Kerrostalo,2h+k,60.0,198000,3300,2
Vuosaari,Kerrostalo,2h+k,63.5,189000,2976,2
Vuosaari,Kerrostalo,"2-3 h, avok., k...",66.0,255000,3864,2
Herttoniemenranta,Kerrostalo,2H+KK+S+PARV,45.0,270000,6000,2
Kallio,Kerrostalo,"2h, k, kph, vh,...",51.0,381000,7471,2
Kulosaari,Kerrostalo,"2h, k, kph, par...",55.0,341397,6207,2
Kamppi,Kerrostalo,"2h,avok,kph,ty&...",61.0,480000,7869,2
Taka-töölö,Kerrostalo,"2h, avok ja kph",62.0,405000,6532,2
Sörnäinen,Kerrostalo,2h+kk,39.5,300000,7595,2
Eiranranta,Kerrostalo,"2 h, avokeitti&...",66.5,600000,9023,2
Kulosaari,Kerrostalo,2H+KK+KH+TERASSI,38.5,218500,5675,2
Kontula,Kerrostalo,2h+k+kh+wc+p,56.5,133000,2354,2
Kamppi,Kerrostalo,2h+kk,42.0,415000,9881,2
Vuosaari,Kerrostalo,2h+kk+s+p,47.5,204000,4295,2
Vuosaari,Kerrostalo,2h+k+p (yht.j&#...,53.5,168000,3140,2
